标题,日期,板块,标的1,价格1,标的2,价格2,标的3,价格3,简述,推荐理由,预期,原文
【四论复合集流体】涨到这位置，龙头还具有性价吗—继续重点推荐材料龙头宝明科技,10:38,复合集流体材料,宝明科技,¥69.37,,,,,宝明科技复合铜箔已实现批量化供货，产业化正式启航，单月出货金额超百万元。,宝明科技作为材料龙头，已解决复合铜箔的产业化和量产问题，成本和性能优势明显，未来渗透率空间大。,复合铜箔的渗透率将相当高，宝明科技作为行业龙头，预期既有产能将要打满，进一步扩张产能。,"【四论复合集流体】涨到这位置，龙头还具有性价吗—继续重点推荐材料龙头宝明科技

[太阳]五月中下旬，在材料龙头宝明科技因融资不顺等传言导致股价大幅下挫时，第一时间汇报了观点，指出“因为非产业因素导致的调整，是左侧布局的重要机遇”（参见三论复合集流体）。当前，宝明股价底部起来约35%，跟各位领导再次汇报一下看法：

#制约股价上涨空间的因素？产业化和渗透率。我曾在三论复合集流体中，曾指出“在狼来了多次的情况下，当前只有看到明确的产业化信号--订单或上车，真正的大行情才会到来。”其次，渗透率是制约行情的第二大因素——材料一旦商用，产业化将不可逆，对于新兴产业，渗透率的空间将会是决定股价涨幅的决定性因素！

#行业的产业化阶段到哪里了？黎明将至--宝明已批量化出货。回顾历史，从PET到PP，主要解决了材料能不能用的问题；从PP复合铜箔到微孔复合铜箔。主要是解决电池厂商量产等问题--当前产业化已不存在大问题。从宝明科技回复投资人的措辞中，也可管中窥豹--24年初，公司曾表示产品达到“产业化应用的条件”；25 年 5月末，公司回复“复合铜箔已实现批量化供货”。据了解，龙头公司近月的单月出货金额已超百万元--假设单车1000平，这意味着每月供给超200辆车，这就不是送样的问题了，这是产业化正式启航的信号！

#行业渗透率空间会达到多高？暂且不谈复合铜箔的安全性等优势，只从纯铜箔迭代空间接近上限，被替代就成为了必然！而行业渗透率空间取决于成本和性能：1）就成本而言，材料龙头的报价已低于纯铜箔；2）就性能而言，当前新一代的多孔复合铜箔已解决前期担忧的快充等问题，且未来伴随固态的发展，复合铜箔的优势将会进一步增强。就此而言，未来复合铜箔的渗透率将相当高。

#落地至市场，个股怎么看？优先选择材料龙头，其次是设备龙头。我在前期段子中，曾写到“前景光明的新兴产业发展初期，可商用、可量产的产品才是至关重要的因素。”当前，谁生产出可商用、可量产的产品，谁就会优先受益，且若不考虑技术扩散等因素，龙头公司在探索过程中付出的艰辛和努力，后来者大概率也要付出类似的艰辛，这意味着前期龙头的优势会相当明显。其次，当前之所以不同于2022年集流体设备先行的行情，是因为只有材料公司看到明确的产业化信号，且预期既有产能（1.5亿平+）将要打满，才会进一步扩张产能，这意味着行业演进的规律是先有材料大订单，继而才是设备厂商订单。

[太阳]欢迎沟通交流  王丹  13262556336"
【天风电新】电子布更新：价格弹性通胀环节，斗山&台光两条线-0703,10:38,电子布,宏和科技,¥18.41,中材科技,¥22.21,德福科技,¥24.40,AI驱动Low Dk电子布需求增长，二代布供不应求，国内企业宏和科技、中材科技供应份额有望扩大；德福科技在HVLP铜箔领域表现突出；平安电工在Rubin测试中表现良好。,从gb200到gb300切换，二代布需求快速提升，日本、台湾企业扩产不满足产能需求，国内企业供应份额有望扩大；德福科技在HVLP铜箔领域基本独供；平安电工在Rubin测试中评价高，估值便宜。,二代布供应缺口将持续，国内企业供应份额有望扩大；德福科技产品升级中；平安电工有望成为Rubin新一代主流材料供应商。,"【天风电新】电子布更新：价格弹性通胀环节，斗山&台光两条线-0703
———————————
本周我们调研了三个专家&三家上市公司，对产业链供应链有了相对清晰脉络，如下：
AI驱动Low Dk增长，消费电子驱动Low CTE电l增长。Low Dk电子布用于AI服务器，一代布、二代布、三代布对应gb200、gb300、rubin。

✔目前gb200向gb300切换，二代布供不应求。当前主要由日本、台湾厂供货，但扩产较慢，国内企业供应量有望增加。

✔三代布配套Rubin，目前有几种方案在测，# 石英布有可能成为新一代主流材料（之前担心PTFE，目前看概率不高）。

Low CTE主要用于消费电子，需求端1/2为手机，1/4为电脑。当前单月需求超50万平方米，而供给端在40万+平方米，有一定缺口。

# 供应链
ccl主要有台光、斗山。NV每代只选一种材料，H系列台光，【GB系列用斗山】，Rubin未定（台光、斗山、生益都在送）。NV之外，【Asic用台光】。

Low Dk
1）	NV链-斗山：【二代】主要日本、台湾企业在供，国内【宏和】测试和小批量；

【三代】在测试，日本有旭化成、信越，国内【平安电工】、中材（泰山玻纤）送样，第一轮测试完对平安电工评价高，而中材还未出测试结果。铜箔9成德福（卢森堡）。

2）非NV链-台光：二代产品旭化成、台玻；国内企业【宏和、中材】二三代布均在测。

Low CTE
1）海外：日本的日东纺、旭化成等；2）国内：南亚新材、【宏和】等开始进入。

# 投资建议
从gb200到gb300切换，二代布需求快速提升，当前已出现供应缺口。日本、台湾企业扩产不满足产能需求，国内企业供应份额有望扩大，看好【宏和科技】（🌟low- CTE&DK都比较快）、【中材科技】（建材组覆盖），以及HVLP铜箔【德福科技】（🌟卢森堡，产品仍在升级4-5，斗山基本独供）。

下一代Rubin，传输速度升级+损耗要求提升，推荐测试性能良好的【平安电工】（🌟跟着斗山，专注Q布，估值便宜）。

具体纪要欢迎私信～"
【天风电子潘暕团队】产业催化临近，重点看好苹果折叠屏产业链，重点推荐蓝思、鹏鼎、领益、立讯,10:37,苹果折叠屏产业链,蓝思科技,¥23.74,鹏鼎控股,¥36.89,领益智造,¥9.20,天风电子团队看好苹果折叠屏产业链，预计苹果折叠产品远期空间达1亿部，重点推荐蓝思科技、鹏鼎控股、领益智造、立讯精密。,苹果高端机占比高，折叠产品渗透比例有望超过三星；苹果入局有望加速折叠屏行业空间扩容；产业链即将进入npi阶段，产业催化临近。,预计苹果折叠产品远期空间有望达到1亿部，产业链核心标的估值低位，建议重点关注。,"【天风电子潘暕团队】产业催化临近，重点看好苹果折叠屏产业链，重点推荐蓝思、鹏鼎、领益、立讯

持续看好苹果折叠屏产业机遇，量价空间很大，重点推荐：
量的角度：
23年三星旗舰机(800美金+)折叠屏渗透率~25%；
iPhone整体价格带集中在800美金以上，23年800美金以上机型出货量占比约80%，苹果高端机占比高，折叠产品渗透比例有望超过三星；
iPad 整体出货量在5000-6000万部，后续iPad折叠屏产品创新亦有增量带动；
按照折叠产品30%渗透预期测算，苹果折叠产品远期空间有望达到1亿部，重视苹果品牌标杆效应安卓品牌厂商跟随效应，苹果入局有望加速折叠屏行业空间扩容；

折叠屏按照明年下半年新机预期，产业链很快进入npi阶段，产业催化临近，核心标的估值低位，建议重点关注蓝思科技、鹏鼎控股、领益智造、立讯精密、博硕科技、智立方、联德装备、统联精密、杰普特、恒铭达，捷邦科技、思泉新材、中石科技、创世纪等

联系人：潘暕/包恒星"
浙商机械 邱世梁重点推荐杭氧股份——周期触底，反转曙光闪现,10:37,机械,杭氧,¥20.08,,,,,杭氧气价拐点显现，氧、氮价格连续多周同比正增长，周期触底反转迹象明显。,空分气价出现拐点迹象，氧、氮连续多周同比正增长；估值低、市值小、天花板高；催化剂包括全国统一大市场、供给侧改革、气价上行。,中长期市值有较大提升空间，参考全球巨头万亿市值。,"浙商机械 邱世梁重点推荐杭氧股份——周期触底，反转曙光闪现

1、空分气价出现拐点迹象，氧、氮连续多周同比正增长。
2、估值低、市值小、天花板高。PB约2倍，市值不到200亿，中长期有空间（全球巨头万亿市值）
3、催化剂：全国统一大市场、供给侧改革、气价上行
上周调研董事长—可交流增量信息。

附：7月3日气价：
液氧：环比1.4%，同比3.5%，同比连续3周增长
液氮：环比跌0.2%，同比7%，同比连续7周增长
液氩：环比跌1.1%，同比跌27%

浙商机械 邱世梁/王华君18610723118/李思扬/张筱晗15927587890"
[红包]【申万宏源通信】奥飞数据深度：算能协同成长的IDC稀缺资产（20250704）,10:37,IDC+算力+能源,奥飞数据,¥20.70,,,,,奥飞数据作为国内算力基建核心主线中的稀缺标的，实现IDC+算力+能源运营协同高成长，预计25-27年EBITDA CAGR>30%。,IDC主业区位核心+高成长，算力业务和新能源赋能形成第二增长曲线，分布式光伏业绩逐年突破，结合售电资质有望降低营运成本。,预计25-27归母净利润2.1/3.2/4.1亿元，EBITDA 12.1/15.7/18.7亿元，25年对应EV/EBITDA 20x，向上动能与弹性充足。,"[红包]【申万宏源通信】奥飞数据深度：算能协同成长的IDC稀缺资产（20250704）

[玫瑰]一句话总结：国内算力基建核心主线中实现IDC+算力+能源运营协同高成长的稀缺标的。

（一）行业beta：供需均有预期差

# 预期差一：需求持续性与爆发节奏
云厂CAPEX调整、芯片等问题为短期扰动，实际6-7月招投标、新版本芯片出货、国产Cloudmatrix等各环节均有确定性进展。

# 预期差二：新增IDC供应的量与价
24-25年加速消化21-23年存量有效供给，而核心区位资源紧缺，新增供给显著下降。24H2以来整体价格已企稳，供需关系改善下，价格有望进一步回升。

（二）奥飞数据alpha：IDC+算力+能源，多维协同发展

# IDC主业区位核心+高成长。24年底运营容量约190MW，25年廊坊等几大核心节点有望交付140-150MW，26年怀来150MW接续交付，预计25-27年EBITDA CAGR>30%，成长性凸显。

# 算力业务+新能源赋能内生增长。1）算力设备销售、算力租赁等业务形成第二增长曲线；2）分布式光伏业绩逐年突破，结合售电资质有望降低IDC主业营运成本。

预计25-27归母净利润2.1/3.2/4.1亿元，EBITDA 12.1/15.7/18.7亿元，25年对应EV/EBITDA 20x，向上动能与弹性充足。"
【AI跟踪观点】全球AI共振！AI和北美算力仍是最强投资主线！-20250704,10:37,"AI算力,光模块,PCB",英伟达,HK$15.61,博通,¥27.29,甲骨文,HK$101.15,全球AI共振，北美算力主升浪和ASIC供应链成为最强投资主线，重点关注光模块和PCB产业链。,北美AI持续大涨，英伟达、博通、甲骨文等公司股价创历史新高，光模块和PCB产业链公司表现强劲，显示出AI算力和ASIC供应链的高增长潜力。,预计北美算力主升浪和ASIC供应链将继续保持强劲增长，光模块和PCB产业链公司有望进一步上涨。,"【AI跟踪观点】全球AI共振！AI和北美算力仍是最强投资主线！-20250704

🔥北美AI持续大涨：
1、英伟达：历史新高！
2、ASIC：博通接近新高！
3、CSP：甲骨文新高！
4、光模块持续大涨：Coherent反弹新高、AAOI（+7%）历史新高。
5、PCB：台光（+3%）历史新高！欣兴电子（+5%）反弹新高！
6、交换机：CLS历史新高！持续印证ASIC趋势！

🔥投资建议：重视北美算力主升浪和ASIC供应链！重视PCB和光模块产业链！
（1）细分龙头：胜宏科技、新易盛、中际旭创。
（2）光模块/CPO/DCI：新易盛、中际旭创、剑桥科技、东山精密、华懋科技、联特科技、德科立、太辰光、仕佳光子、致尚科技、博创科技等。
（3）PCB：胜宏科技、沪电股份、生益电子、景旺电子、深南电路、宏和科技、芯碁微装、德福科技、中富电路等。
（4）铜连接/AEC：瑞可达、沃尔核材等。"
[红包]利民股份：二季度业绩预计同比高增，巴斯夫战略合作打开成长空间,10:37,化工,利民股份,¥19.59,,,,,利民股份二季度业绩预计同比高增，与巴斯夫战略合作打开成长空间。,二季度将受益于产品价格上涨和旺季销量增长，业绩预计同环比大幅向上；与巴斯夫的合作有望在创制和仿制药方面深化，打开公司成长空间。,2025年全年预计公司归母净利润5亿元左右，15xPE，对应75亿市值；与巴斯夫合作产品预计2026年开始贡献利润，远期潜在利润达4亿+，对应60亿市值期权，合计135亿元市值。,"[红包]利民股份：二季度业绩预计同比高增，巴斯夫战略合作打开成长空间
————————————
[太阳]二季度业绩同环比高增。利民股份25Q2将充分受益于百菌清、代锰、阿维菌素、甲维盐等产品价格上涨和旺季销量增长，季度业绩预计同环比大幅向上。往后看，预计代锰和百菌清在下半年海外需求旺季仍有价格上涨机会，进一步带动公司业绩提升。

[太阳]巴斯夫合作打开成长空间。据公司微信公众号，利民股份子公司德彦智创与巴斯夫达成战略合作，在双方洽谈中表示，合作将“加速新农药的创制进程，为中国乃至全球农业提供更高效、更可持续的解决方案”。和巴斯夫的合作有望在创制和仿制药方面深化，依托巴斯夫的研发能力和长期稳定的仿制药需求，该合作有望打开公司的成长空间。

[太阳]业绩和估值：2025年全年预计公司归母净利润5亿元左右，15xPE，对应75亿市值；与巴斯夫合作产品预计2026年开始贡献利润，远期潜在利润达4亿+，对应60亿市值期权，合计135亿元市值。

欢迎交流 中信化工"
【东吴电子陈海进】投资显决心，看好深度受益AI高景气沪电股份,10:37,PCB,沪电股份,¥47.30,,,,,沪电股份受益于全球高速交换机销售高增及CSP自研ASIC爆发，2024年高速交换机PCB收入环增超90%，AI服务器及HPC相关PCB收入占总营业收入22.29%。,公司高端机交换机PCB全球领先，海内外产能释放应对AIPCB需求增长，行业需求旺盛叠加产能充沛有望进一步推动公司业绩释放。,在数据中心交换机市场强劲增长的背景下，沪电高速交换机PCB收入有望进一步高增；ASIC芯片放量有望为公司PCB需求带来弹性。,"【东吴电子陈海进】投资显决心，看好深度受益AI高景气沪电股份

事件：7月3日公司发布公告，2025年7月至2031年6月期间，在不超过人民币36亿元的总投资额度范围内，管理层可就潜在项目投资与黄石经济技术开发区管理委员会进行磋商。

🎯全球高速交换机销售高增，沪电股份深度受益
📍Dell'OroGroup近期发布最新报告，以太网数据中心交换机销售额在2025年第一季度同比增长超40%，创下2013年以来最强劲的增长，并创下历史新高，当季800G交换机销售额超10亿美元。沪电股份早在2023年就已有批量交付112G速率800G交换机PCB产品，224G速率（102.4T交换容量1.6T）交换机PCB产品也进行了预研。2024年下半年，公司高速网络交换机机器配套相关PCB产品成为公司增长最快细分领域，环增超90%，24年全年高速交换机实现收入38.91亿元。在数据中心交换机市场强劲增长的背景下，沪电高速交换机PCB收入有望进一步高增。

🎯CSP自研ASIC爆发，PCB需求弹性巨大
📍据华尔街见闻报道，Meta将在2025年第四季度推出首款ASIC芯片MTIA T-V1，由博通设计，搭载复杂的36层高规格PCB的主板架构，供应链估计，Meta计划2025-2026年实现100万至150万片ASIC出货。据Prismark预测，2023-2028年AI服务器和HPC相关PCB产品（不含载板）的复合增长率约达40.2%，为PCB市场带来新的增长机遇。公司2024年AI服务器及HPC相关PCB收入约29.75亿元，占总营业收入22.29%，ASIC芯片放量有望为公司PCB需求带来弹性。

🥇观点重申：公司高端机交换机PCB全球领先，海内外产能释放应对AIPCB需求增长，行业需求旺盛叠加产能充沛有望进一步推动公司业绩释放，建议重点关注。

风险提示：技术创新不及预期、下游需求不及预期，市场竞争风险加剧、地缘政治影响恶化。

🎁欢迎与东吴电子团队联系交流：陈海进/解承堯"
🔥【热景生物】再次重点推荐！SGC001数据读出在即、结果可期，又一潜在重磅品种新一代IO双抗即将IND！,10:36,生物医药,热景生物,¥194.81,,,,,热景生物SGC001心梗抗体药即将揭盲数据，SGT003 IO双抗IND在即，展示出优秀治疗效果。,SGC001是全球FIC创新药，适用于急性心肌梗死患者的急救治疗，临床前数据表现良好；SGT003 IO双抗临床前研究表明其可以精准靶向肿瘤微环境，实现完全抑瘤。,SGC001国内1b期临床预计7月底8月初揭盲读出数据，25下半年启动2期临床研究；SGT003 IO双抗等药物有望年底前进入临床阶段。,"🔥【热景生物】再次重点推荐！SGC001数据读出在即、结果可期，又一潜在重磅品种新一代IO双抗即将IND！

🚩全球FIC心梗抗体药SGC001有望填补临床空白，国内外想象空间较大。SGC001是全球FIC创新药，适用于急性心肌梗死患者的急救治疗，已实现中美双报双批。SGC001通过抑制S100A8A9介导的炎症反应延缓心衰进展，临床前数据表现良好，目前正在国内积极推进1b期临床。SGC001有望填补市场空白，临床价值高应用空间大。

🚩SGT003（IO双抗）IND在即，临床前研究表明其可以精准靶向肿瘤微环境，实现完全抑瘤，并产生免疫记忆，展示出优秀的治疗效果，有望成为继PD-1(PD-L1)后变革性肿瘤免疫冶疗的新一代基石治疗药物，为患者提供更安全、有效的全新治疗策略和选择，具有巨大的临床应用潜力和广阔的市场前景！

🚩公司关键催化
①心梗药SGC001 国内1b期临床已于近期完成高剂量入组，需要随访观察一个月，因此预计将于7月底8月初揭盲读出数据。心梗药BD出海预计数据读出后会和MNC进一步接洽谈判。
②预计25下半年会启动2期临床研究，拟用梗死面积代替终点进行2期附条件申报。
③胰腺炎新适应症有望下半年启动临床研究。
④公司其他创新药管线，例如IO双抗、siRNA等药物也有望年底前进入临床阶段。"
【中泰化工】东材科技算力需求与高频高速树脂市场机遇,10:36,高频高速树脂,东材科技,¥10.66,,,,,东材科技受益于算力需求增长及国产化趋势，高频高速树脂业务表现强劲，1月份业绩超预期，订单及出货量同比大幅增长。,公司产品结构及新项目规划适应高速树脂市场需求，与产业链紧密合作，业务放量能力强，业绩增长迅速。,第一季度及全年业绩超预期确定性高，高速树脂业务将持续受益于算力需求增长及国产化趋势。,"【中泰化工】东材科技算力需求与高频高速树脂市场机遇

算力需求持续增长，加上国产自主可控的趋势，高频高速树脂β市场表现仍然强劲。
无论是顶端算力需求（GB200/300）拉动M8+高速覆铜板，从而催化PPO/OPE、CH/ODV树脂需求，还是存量高速需求（100/800）持续催化BMI、PPO需求，东材科技现有的产品结构（BMI、活性酯、CH），以及新项目规划（2万吨PPO/OPE/CH/BMI等高速树脂扩产），都有潜力实现高成长业绩，具备业绩弹性。

高速树脂业务近期表现：
从边际角度来看，1月份高速树脂业务表现超预期，单月实现4000万的业绩。1-2月订单量同比增长超3倍，出货量同比增长超2倍，第一季度（Q1）及全年业绩超预期的确定性很强。

回顾历史，受益于与台光、生益、台耀、南亚等客户的合作，公司相关业务在2022-2024年的营收分别为0.6亿元、1.6亿元、2.7亿元，增长迅速，这充分证明了公司与产业链的紧密粘性和业务放量能力。

从行业角度看，胜宏的业绩以及台光月营收同比增速持续亮眼，表明高速需求仍然强劲。同时，910C等国产芯片主题凸显了产业链国产化的趋势。"
GPU+ASIC 云计算共振，看好AI算力增速超过资本开支增速！【东吴通信张良卫/周高鼎/李博韦】,10:36,AI算力,中际旭创,¥139.45,新易盛,¥128.35,天孚通信,¥75.58,AI算力需求加速显现，光模块、硅光&CPO、PCB及铜互连相关公司受益。,一二线云厂资本开支坚定，AI算力需求加速显现，英伟达最新技术和产品需求增长，ASIC出货快速增长，产业链增速有望高于云厂资本开支增速。,AI算力增速超过资本开支增速，相关产业链公司业绩有望实现基数和渗透率的双击。,"GPU+ASIC 云计算共振，看好AI算力增速超过资本开支增速！【东吴通信张良卫/周高鼎/李博韦】

# 事件
CoreWeave 宣布成为全球首家部署 GB300 的云厂

# 观点重申
1、一二线云厂资本开支坚定，“表观”增长持续，企业及主权的AI 算力需求加速显现
2、英伟达最新技术和产品来自一二线云厂、主权与企业AI的需求有望继续增长，同时1.6T等开始参与配套出货，有望实现基数和渗透率的双击
3、一线云厂自研ASIC出货快速增长，ASIC 相比GPU单卡性能略差但性价比更高，“单位美元”能够买的，需要买的算力卡及配套增加，云厂资本开支投向或在产业链再分配，产业链增速有望高于云厂资本开支增速

# 投资建议 
相关标的：
光模块：中际旭创，新易盛，天孚通信，徳科立
硅光&CPO：致尚科技，太辰光，仕佳光子，源杰科技
PCB：胜宏科技，沪电股份，生益电子
铜互连：兆龙互连，博创科技，鸿腾精密

风险提示：算力需求不及预期；客户开拓与份额不及预期；产品研发落地不及预期；行业竞争加剧；原材料供应紧缺；产业技术迭代

欢迎联系 东吴通信张良卫/周高鼎/李博韦"
[加油]强Call战略创新药重点标的【康方生物】❗建议重点配置IO 2.0产业链🎉,10:36,创新药,康方生物,HK$115.50,神州细胞,¥85.41,华海药业,¥22.99,康方生物AK112作为PD1/VEGF双抗在IO 2.0领域具有全球领先优势，多个癌肿国内已开展3期临床，海外合作预期强烈。同时推荐关注神州细胞、华海药业等PD-1/VEGF进度领先企业，及信达生物、基石药业等差异化PD-1双抗/三抗企业。,AK112进度最快，NSCLC已先发优势占位，中美数据一致性高，临床数据证据等级最高，海外合作预期强烈。公司围绕下一代肿瘤治疗的管线战略清晰，有望实现临床价值最大化。,AK112有望在合适的时间以合适的价格完成对外合作，海外适应症放量后的销售分成将带来收益。PD-1双抗赛道预计2030年将达到900亿美金，相关标的股价有望表现。,"[加油]强Call战略创新药重点标的【康方生物】❗建议重点配置IO 2.0产业链🎉

🔴# 怎么看AK112如何全球临床价值最大化❓ 
1⃣PD1/VEGF双抗为IO基石药物已成MNC必买的品种，AK112进度最快，NSCLC已先发优势占位，多个癌肿 国内已开展3期，全球临床也将领先。AK112已被证明中美数据有一致性，临床数据证据等级最高，最快最有确定性的PD-1/VEGF双抗，只要SMMT有合作意愿，大概率会在合适的时间以合适的价格完成对外合作。
2⃣无论是MNC现金收购Summit，还是通过临床合作授权的BD交易，都是利好康方生物，有MNC加持，# AK112将保持巨大的领先身位，分享IO 2.0最大的全球市场份额。虽然康方不会有新的首付款金额，但更为重要的是海外适应症放量后的销售分成。

🔴# 康方仍有较大预期差，不只是AK112的全球化❗
除了AK112，公司AK104、CD47单抗AK117、双抗平台、双抗ADC、三抗平台全球价值等仍有预期差，通过联用AK112有望实现临床价值最大化。围绕下一代肿瘤治疗的管线战略清晰，这就是我们一直战略重点推荐康方的核心原因。

🔴怎么看PD-1双抗赛道？
去年我们强调PD-1双抗是迭代PD-1的产业趋势，而这也是中国中国全面全球领先的赛道，500亿美金的免疫治疗存量市场，预计2030将达到900亿，在洗牌之时，抓住IO 2.0的机会极为关键。目前海外进度SMMT和BMS领先，预计本次潜在合作有望带动PD-1双抗板块热情，其他MNC会战略布局，预计相关标的股价均会表现，❗建议重点组合配置：1）# 进度领先PD-1/VEGF，如神州细胞、华海药业；2）# 差异化PD-1双抗/三抗：信达生物、基石药业、上海谊众。"
近日，记者从宇树科技相关投资方获悉，宇树科技后续有计划于科创板IPO(首次公开募股)。据此前媒体报道，宇树科技完成C轮融资交割，市场预估本轮投前估值超过100亿元人民币。截至发稿，记者尚未从宇树科技方面获得验证。(每日经济新闻),09:13,科技,宇树科技,,,,,,宇树科技计划科创板IPO，C轮融资投前估值超100亿元。,宇树科技完成C轮融资，市场估值超过100亿元人民币，显示出市场对其未来发展的高度认可和期待。,宇树科技计划在科创板IPO，预计将进一步推动公司发展和市场估值提升。,近日，记者从宇树科技相关投资方获悉，宇树科技后续有计划于科创板IPO(首次公开募股)。据此前媒体报道，宇树科技完成C轮融资交割，市场预估本轮投前估值超过100亿元人民币。截至发稿，记者尚未从宇树科技方面获得验证。(每日经济新闻)
这几周路演汇报的【德福科技】空间的3种拍法（0704）：,09:13,铜箔,德福科技,¥24.40,,,,,德福科技高端铜箔产能规划及市场空间分析，预计3年内实现10亿利润增量，整体市值预计达400亿+。,公司高端铜箔产能规划明确，市场空间大，预计通过产能扩张和市场占有率提升实现利润大幅增长。,预计3年内实现15-20亿利润增量，整体市值达到400亿+，PE估值20~30倍。,"这几周路演汇报的【德福科技】空间的3种拍法（0704）：
1⃣公司产能规划：3年hvlp高端产能5万吨，30%高端对应1.5w吨，单吨30w，利润6-9w/吨，合计10亿利润增量；
2⃣自上而下pcb传导：明年500-600亿AI，10%铜箔，50-60亿空间，30%份额，30%净利率，大概5亿利润增量，未考虑之后的增长；
3⃣卢森堡入手：整体1.68万吨产能，高端60%，相当于1.2-1.3w吨，基本与公司3年目标吻合，预计增量10亿利润。
以上没考虑载体铜箔空间，按照三井目前50亿收入，80%市占率，整体市场在60.70亿（专家给的100亿，更大），30%市占率，50%利润率（三井利润率80%）预计也是9.10亿利润空间。
📈因此以上合计15-20亿利润增量，20~30xpe，主业估值80亿（固态就值这么多，锂电假设不算），预计整体市值在400亿+
By zyy"
ASIC爆发加剧产能紧张，高端PCB景气有望持续超预期，产能为王时代持续强推高端PCB板块（首推景旺+胜宏）,09:53,高端PCB,景旺,¥46.58,胜宏,¥146.31,沪电,¥47.30,ASIC爆发推动高端PCB需求，景旺和胜宏因产能和技术优势被首推，沪电、深南、生益等老牌龙头也受益。,ASIC加速推动PCB需求增长，高端产能缺口成为核心矛盾。景旺和胜宏因技术底蕴和产能扩张能力，预计将充分受益于需求扩张，业绩持续超预期。,胜宏目标市值上修至1500亿~2000亿，景旺当前位置赔率极高，先看翻倍空间。高端PCB景气有望持续超预期，产能为王时代持续。,"ASIC爆发加剧产能紧张，高端PCB景气有望持续超预期，产能为王时代持续强推高端PCB板块（首推景旺+胜宏）

推理需求爆发推动算力需求从capex转向opex，asic有望伴随推理算力加速爆发，主权算力投资有望接力NV增长。

PCB作为AI服务器+交换机核心环节，ASP持续提升，ASIC加速价值通胀，供应链预测看26年ASIC相关PCB规模有望翻倍以上成长。NV新产品迭代推动ASP持续增长，高端产能缺口仍是未来2年的核心矛盾。产能储备是导入新客户的最重要因素，基于技术底蕴和产能增速看，我们预计内资PCB有望充分受益需求的进一步扩张，北美AI收入利润贡献持续提升，沪电深南生益等老牌头部公司有望充分收益。产能为王下优选26年产能弹性大的厂商，胜宏+景旺有望看到业绩持续上修。

胜宏已经卡位NV核心一供，高多层+HDI产能加速扩张，季度业绩持续超预期，ASIC加入导入，目标市值上修至1500亿~2000亿

景旺高多层+HDI高端产能支持80亿+高端收入，北美大客户核心新项目全面导入中，未来业绩有望迎来惊喜，当前位置赔率极高，当前位置先看翻倍空间

沪电深南生益等老牌龙头持续推荐，建议继续持有

ASIC爆发加剧产能紧张，高端PCB景气有望持续超预期，产能为王时代持续强推高端PCB板块（首推景旺+胜宏）"
消息人士称，美国允许通用电气恢复向中国商飞交付飞机发动机,09:09,航空航天,通用电气,¥4.61,中国商飞,HK$0.68,,,美国解除通用电气向中国商飞交付飞机发动机的禁令，涉及C919和C909客机用发动机。,美国对通用电气的许可证暂停令已解除，允许其向中国商飞交付关键飞机发动机，标志着两国在航空航天领域的合作可能回暖。,此举预计将促进中国商飞C919和C909客机的生产进度，同时为通用电气带来新的收入来源。,"消息人士称，美国允许通用电气恢复向中国商飞交付飞机发动机

据知情人士透露，美国对通用电气(GE)的许可证暂停令已解除，涉及向中国商飞(COMAC)交付的 C919 单通道客机用 LEAP-1C 发动机，以及用于商飞 C909 支线客机的 CF34 发动机，至少还有一家航空航天公司周四也获准恢复对华出口许可。"
